FirstName1 LastName1  associate 100455.77
FirstName149 LastName149  full 106597.40
FirstName150 LastName150  assistant 68902.63
FirstName151 LastName151  associate 62498.16
FirstName152 LastName152  associate 77470.63
FirstName153 LastName153  associate 90562.44
FirstName154 LastName154  associate 82848.64
FirstName155 LastName155  associate 84385.57
FirstName156 LastName156  associate 90387.64
FirstName157 LastName157  full 111630.57
FirstName158 LastName158  full 92489.67
FirstName159 LastName159  full 110791.41
FirstName160 LastName160  full 77392.93
FirstName161 LastName161  associate 95842.88
FirstName162 LastName162  associate 65062.40
FirstName163 LastName163  full 92813.97
FirstName164 LastName164  assistant 78467.38
FirstName165 LastName165  full 98884.06
FirstName166 LastName166  full 91443.47
FirstName167 LastName167  associate 88965.51
FirstName168 LastName168  assistant 51122.57
FirstName169 LastName169  assistant 69550.49
FirstName170 LastName170  assistant 78215.65
FirstName171 LastName171  assistant 67001.26
FirstName172 LastName172  full 115706.36
FirstName173 LastName173  full 82288.78
FirstName174 LastName174  assistant 55227.26
FirstName175 LastName175  assistant 70869.65
FirstName176 LastName176  associate 73867.41
FirstName177 LastName177  full 96319.45
FirstName178 LastName178  assistant 59452.40
FirstName179 LastName179  associate 64447.67
FirstName180 LastName180  assistant 63449.67
FirstName181 LastName181  associate 87337.30
FirstName182 LastName182  full 98290.86
FirstName183 LastName183  associate 81804.37
FirstName184 LastName184  assistant 59870.81
FirstName185 LastName185  full 104613.96
FirstName186 LastName186  full 115308.34
FirstName187 LastName187  full 109390.03
FirstName188 LastName188  full 92632.66
FirstName189 LastName189  associate 64094.97
FirstName190 LastName190  full 102043.30
FirstName191 LastName191  associate 99179.04
FirstName192 LastName192  associate 71953.12
FirstName193 LastName193  associate 72242.85
FirstName194 LastName194  assistant 51088.84
FirstName195 LastName195  assistant 68106.89
FirstName196 LastName196  assistant 61645.16
FirstName197 LastName197  full 106417.55
FirstName198 LastName198  full 83878.81
FirstName199 LastName199  full 79702.90
FirstName200 LastName200  assistant 74195.48
FirstName201 LastName201  full 76797.14
FirstName202 LastName202  assistant 53134.44
FirstName203 LastName203  assistant 52228.43
FirstName204 LastName204  assistant 53913.76
FirstName205 LastName205  full 91933.44
FirstName206 LastName206  associate 95497.86
FirstName207 LastName207  full 87065.12
FirstName208 LastName208  associate 98221.05
FirstName209 LastName209  assistant 54298.25
FirstName210 LastName210  full 107483.06
FirstName211 LastName211  associate 71870.16
FirstName212 LastName212  assistant 58981.51
FirstName213 LastName213  assistant 73984.15
FirstName214 LastName214  full 94339.83
FirstName215 LastName215  full 108322.64
FirstName216 LastName216  assistant 61154.41
FirstName217 LastName217  full 121028.74
FirstName218 LastName218  associate 69717.20
FirstName219 LastName219  associate 63341.17
FirstName220 LastName220  assistant 62111.09
FirstName221 LastName221  associate 97249.77
FirstName222 LastName222  associate 83280.41
FirstName223 LastName223  associate 88492.54
FirstName224 LastName224  full 125356.44
FirstName225 LastName225  full 84266.12
FirstName226 LastName226  associate 108482.05
FirstName227 LastName227  associate 86633.33
FirstName228 LastName228  assistant 60608.63
FirstName229 LastName229  full 115411.89
FirstName230 LastName230  associate 65421.07
FirstName231 LastName231  associate 87441.82
FirstName232 LastName232  assistant 68677.67
FirstName233 LastName233  associate 96820.64
FirstName234 LastName234  associate 68366.09
FirstName235 LastName235  full 125658.59
FirstName236 LastName236  full 117102.80
FirstName237 LastName237  full 84494.50
FirstName238 LastName238  assistant 59359.49
FirstName239 LastName239  full 110704.71
FirstName240 LastName240  associate 84103.66
FirstName241 LastName241  associate 105177.19
FirstName242 LastName242  full 81229.63
FirstName243 LastName243  assistant 72551.81
FirstName244 LastName244  assistant 62802.08
FirstName245 LastName245  associate 106058.02
FirstName246 LastName246  assistant 69995.89
FirstName247 LastName247  associate 62494.49
FirstName248 LastName248  associate 83902.21
FirstName249 LastName249  associate 109559.03
FirstName250 LastName250  assistant 68641.34
FirstName251 LastName251  full 118617.90
FirstName252 LastName252  assistant 62622.68
FirstName253 LastName253  full 84306.22
FirstName254 LastName254  full 112886.30
FirstName255 LastName255  assistant 72626.89
FirstName256 LastName256  full 115252.85
FirstName257 LastName257  full 127007.47
FirstName258 LastName258  associate 82092.26
FirstName259 LastName259  full 112126.99
FirstName260 LastName260  assistant 62367.58
FirstName261 LastName261  full 76233.49
FirstName262 LastName262  assistant 64270.06
FirstName263 LastName263  associate 69432.42
FirstName264 LastName264  associate 62752.56
FirstName265 LastName265  assistant 79316.59
FirstName266 LastName266  full 88459.11
FirstName267 LastName267  full 107981.28
FirstName268 LastName268  associate 89624.87
FirstName269 LastName269  associate 75809.91
FirstName270 LastName270  full 82816.11
FirstName271 LastName271  assistant 54496.47
FirstName272 LastName272  full 97671.55
FirstName273 LastName273  associate 93622.14
FirstName274 LastName274  full 110108.58
FirstName275 LastName275  associate 92453.75
FirstName276 LastName276  full 118167.01
FirstName277 LastName277  full 83321.07
FirstName278 LastName278  assistant 66362.71
FirstName279 LastName279  assistant 67975.68
FirstName280 LastName280  assistant 73822.17
FirstName281 LastName281  assistant 52346.98
FirstName282 LastName282  assistant 71695.16
FirstName283 LastName283  associate 69568.45
FirstName284 LastName284  associate 70520.43
FirstName285 LastName285  associate 92613.93
FirstName286 LastName286  associate 99683.35
FirstName287 LastName287  assistant 74135.98
FirstName288 LastName288  assistant 50020.69
FirstName289 LastName289  associate 72959.51
FirstName290 LastName290  associate 94031.49
FirstName291 LastName291  associate 104203.88
FirstName292 LastName292  full 97761.14
FirstName293 LastName293  associate 82420.74
FirstName294 LastName294  associate 61991.46
FirstName295 LastName295  assistant 59911.39
FirstName296 LastName296  associate 101751.42
FirstName297 LastName297  associate 101369.27
FirstName298 LastName298  full 124348.07
FirstName299 LastName299  full 117634.18
FirstName300 LastName300  assistant 75479.74
FirstName301 LastName301  full 95756.28
FirstName302 LastName302  associate 63046.34
FirstName303 LastName303  assistant 61255.40
FirstName304 LastName304  assistant 56186.30
FirstName305 LastName305  assistant 78345.19
FirstName306 LastName306  associate 66185.65
FirstName307 LastName307  full 75105.42
FirstName308 LastName308  full 109464.73
FirstName309 LastName309  full 125135.69
FirstName310 LastName310  assistant 53666.92
FirstName311 LastName311  full 127599.09
FirstName312 LastName312  associate 92174.24
FirstName313 LastName313  associate 74930.81
FirstName314 LastName314  assistant 55083.74
FirstName315 LastName315  assistant 67619.82
FirstName316 LastName316  full 125466.15
FirstName317 LastName317  assistant 74207.32
FirstName318 LastName318  assistant 68803.25
FirstName319 LastName319  associate 82152.74
FirstName320 LastName320  associate 95995.77
FirstName321 LastName321  full 105181.56
FirstName322 LastName322  associate 91598.73
FirstName323 LastName323  assistant 75021.99
FirstName324 LastName324  assistant 65666.37
FirstName325 LastName325  associate 83733.15
FirstName326 LastName326  assistant 51496.20
FirstName327 LastName327  full 126517.85
FirstName328 LastName328  full 123756.33
FirstName329 LastName329  associate 97425.29
FirstName330 LastName330  assistant 54847.49
FirstName331 LastName331  assistant 74490.08
FirstName332 LastName332  associate 64781.18
FirstName333 LastName333  full 106659.56
FirstName334 LastName334  assistant 69771.86
FirstName335 LastName335  assistant 79964.49
FirstName336 LastName336  associate 70809.76
FirstName337 LastName337  assistant 57125.96
FirstName338 LastName338  full 116872.15
FirstName339 LastName339  assistant 64076.17
FirstName340 LastName340  associate 86730.57
FirstName341 LastName341  full 93534.89
FirstName342 LastName342  associate 85937.03
FirstName343 LastName343  assistant 56807.11
FirstName344 LastName344  associate 87925.93
FirstName345 LastName345  assistant 65230.86
FirstName346 LastName346  full 109198.09
FirstName347 LastName347  full 117662.58
FirstName348 LastName348  assistant 50735.44
FirstName349 LastName349  assistant 52760.61
FirstName350 LastName350  assistant 58415.10
FirstName351 LastName351  assistant 55335.12
FirstName352 LastName352  associate 90185.94
FirstName353 LastName353  associate 87068.13
FirstName354 LastName354  assistant 79744.42
FirstName355 LastName355  associate 87567.85
FirstName356 LastName356  assistant 57392.69
FirstName357 LastName357  assistant 66266.60
FirstName358 LastName358  associate 72909.68
FirstName359 LastName359  associate 66937.30
FirstName360 LastName360  assistant 60728.20
FirstName361 LastName361  assistant 53677.30
FirstName362 LastName362  associate 89094.35
FirstName363 LastName363  full 92973.68
FirstName364 LastName364  full 88433.92
FirstName365 LastName365  associate 72110.85
FirstName366 LastName366  full 90860.08
FirstName367 LastName367  assistant 57374.34
FirstName368 LastName368  assistant 65789.09
FirstName369 LastName369  associate 91036.68
FirstName370 LastName370  associate 60408.41
FirstName371 LastName371  associate 101377.97
FirstName372 LastName372  associate 82611.67
FirstName373 LastName373  full 119409.15
FirstName374 LastName374  full 123168.79
FirstName375 LastName375  full 99780.03
FirstName376 LastName376  full 92113.76
FirstName377 LastName377  associate 97346.14
FirstName378 LastName378  assistant 72939.31
FirstName379 LastName379  full 105349.71
FirstName380 LastName380  associate 79117.71
FirstName381 LastName381  assistant 60324.24
FirstName382 LastName382  full 81827.98
FirstName383 LastName383  full 120861.20
FirstName384 LastName384  assistant 53418.40
FirstName385 LastName385  associate 99151.22
FirstName386 LastName386  assistant 57064.34
FirstName387 LastName387  associate 107287.47
FirstName388 LastName388  assistant 64163.53
FirstName389 LastName389  associate 90120.52
FirstName390 LastName390  assistant 78558.33
FirstName391 LastName391  full 117215.70
FirstName392 LastName392  full 110862.37
FirstName393 LastName393  assistant 73501.41
FirstName394 LastName394  full 88246.96
FirstName395 LastName395  associate 93822.59
FirstName396 LastName396  full 107577.20
FirstName397 LastName397  associate 77580.18
FirstName398 LastName398  full 80133.48
FirstName399 LastName399  associate 81194.75
FirstName400 LastName400  full 129112.81
FirstName401 LastName401  associate 72454.15
FirstName402 LastName402  associate 90892.98
FirstName403 LastName403  associate 85131.67
FirstName404 LastName404  full 114330.28
FirstName405 LastName405  assistant 64357.35
FirstName406 LastName406  associate 79230.08
FirstName407 LastName407  full 82277.56
FirstName408 LastName408  associate 107224.39
FirstName409 LastName409  full 117632.31
FirstName410 LastName410  associate 76838.45
FirstName411 LastName411  assistant 57286.07
FirstName412 LastName412  associate 72103.27
FirstName413 LastName413  full 91964.41
FirstName414 LastName414  full 120933.52
FirstName415 LastName415  associate 64209.82
FirstName416 LastName416  full 102022.83
FirstName417 LastName417  assistant 55096.58
FirstName418 LastName418  associate 92625.60
FirstName419 LastName419  assistant 60246.91
FirstName420 LastName420  associate 84632.61
FirstName421 LastName421  associate 92408.44
FirstName422 LastName422  full 129129.67
FirstName423 LastName423  assistant 76552.44
FirstName424 LastName424  full 100304.76
FirstName425 LastName425  assistant 66426.97
FirstName426 LastName426  associate 99556.82
FirstName427 LastName427  full 104289.65
FirstName428 LastName428  assistant 75575.71
FirstName429 LastName429  full 77892.10
FirstName430 LastName430  full 77321.28
FirstName431 LastName431  associate 82726.62
FirstName432 LastName432  full 87691.37
FirstName433 LastName433  assistant 76792.60
FirstName434 LastName434  assistant 70147.47
FirstName435 LastName435  full 80517.48
FirstName436 LastName436  assistant 52465.18
FirstName437 LastName437  full 119733.42
FirstName438 LastName438  assistant 59540.10
FirstName439 LastName439  full 117567.39
FirstName440 LastName440  assistant 74115.37
FirstName441 LastName441  associate 89986.94
FirstName442 LastName442  assistant 54874.75
FirstName443 LastName443  associate 71952.51
FirstName444 LastName444  assistant 58576.76
FirstName445 LastName445  assistant 55105.00
FirstName446 LastName446  assistant 62910.63
FirstName447 LastName447  associate 109079.24
FirstName448 LastName448  full 118266.47
FirstName449 LastName449  full 101375.17
FirstName450 LastName450  assistant 61230.15
FirstName451 LastName451  full 75496.82
FirstName452 LastName452  associate 62022.47
FirstName453 LastName453  assistant 57356.28
FirstName454 LastName454  assistant 74158.79
FirstName455 LastName455  full 92353.45
FirstName456 LastName456  assistant 73700.00
FirstName457 LastName457  associate 97304.99
FirstName458 LastName458  assistant 64593.82
FirstName459 LastName459  assistant 61730.59
FirstName460 LastName460  full 85141.07
FirstName461 LastName461  associate 69980.66
FirstName462 LastName462  assistant 78748.52
FirstName463 LastName463  full 97236.02
FirstName464 LastName464  full 115402.58
FirstName465 LastName465  associate 83508.16
FirstName466 LastName466  full 108521.96
FirstName467 LastName467  full 126590.52
FirstName468 LastName468  associate 98357.25
FirstName469 LastName469  assistant 53391.63
FirstName470 LastName470  associate 63082.69
FirstName471 LastName471  full 97275.48
FirstName472 LastName472  full 106247.53
FirstName473 LastName473  assistant 50239.82
FirstName474 LastName474  assistant 55485.14
FirstName475 LastName475  full 103867.66
FirstName476 LastName476  associate 92925.74
FirstName477 LastName477  associate 64288.58
FirstName478 LastName478  assistant 58918.27
FirstName479 LastName479  associate 84463.76
FirstName480 LastName480  associate 104607.82
FirstName481 LastName481  full 124622.90
FirstName482 LastName482  full 97402.80
FirstName483 LastName483  assistant 70865.88
FirstName484 LastName484  associate 75910.79
FirstName485 LastName485  full 78483.05
FirstName486 LastName486  assistant 64822.26
FirstName487 LastName487  assistant 55300.78
FirstName488 LastName488  full 129953.58
FirstName489 LastName489  full 116546.14
FirstName490 LastName490  assistant 56389.07
FirstName491 LastName491  full 80925.78
FirstName492 LastName492  full 87408.00
FirstName493 LastName493  full 123620.50
FirstName494 LastName494  associate 87553.14
FirstName495 LastName495  associate 60803.47
FirstName496 LastName496  full 120097.68
FirstName497 LastName497  assistant 67285.02
FirstName498 LastName498  associate 73098.98
FirstName499 LastName499  associate 88788.61
FirstName500 LastName500  assistant 64085.67
FirstName501 LastName501  assistant 51463.98
FirstName502 LastName502  full 82994.54
FirstName503 LastName503  assistant 53427.51
FirstName504 LastName504  associate 74056.36
FirstName505 LastName505  assistant 52948.45
FirstName506 LastName506  full 101777.33
FirstName507 LastName507  associate 70517.52
FirstName508 LastName508  full 129908.67
FirstName509 LastName509  full 114283.83
FirstName510 LastName510  associate 71267.97
FirstName511 LastName511  full 75691.93
FirstName512 LastName512  associate 88630.52
FirstName513 LastName513  assistant 67162.24
FirstName514 LastName514  full 111501.82
FirstName515 LastName515  full 83616.87
FirstName516 LastName516  full 76657.66
FirstName517 LastName517  assistant 62229.62
FirstName518 LastName518  associate 99455.12
FirstName519 LastName519  assistant 62333.71
FirstName520 LastName520  assistant 74763.50
FirstName521 LastName521  full 104069.65
FirstName522 LastName522  assistant 65613.99
FirstName523 LastName523  assistant 62893.58
FirstName524 LastName524  assistant 53693.79
FirstName525 LastName525  full 128085.72
FirstName526 LastName526  associate 82386.37
FirstName527 LastName527  assistant 57211.06
FirstName528 LastName528  associate 94984.83
FirstName529 LastName529  associate 60817.66
FirstName530 LastName530  associate 104044.05
FirstName531 LastName531  full 94124.73
FirstName532 LastName532  associate 80300.28
FirstName533 LastName533  assistant 55776.54
FirstName534 LastName534  full 90082.74
FirstName535 LastName535  associate 89041.02
FirstName536 LastName536  full 96042.90
FirstName537 LastName537  full 119621.49
FirstName538 LastName538  associate 77143.26
FirstName539 LastName539  full 78430.00
FirstName540 LastName540  associate 83435.86
FirstName541 LastName541  associate 97415.40
FirstName542 LastName542  assistant 63116.81
FirstName543 LastName543  assistant 77900.95
FirstName544 LastName544  associate 84836.21
FirstName545 LastName545  full 80409.42
FirstName546 LastName546  full 129594.55
FirstName547 LastName547  associate 94391.90
FirstName548 LastName548  assistant 62397.22
FirstName549 LastName549  associate 97491.44
FirstName550 LastName550  associate 65994.03
FirstName551 LastName551  associate 75866.81
FirstName552 LastName552  associate 80918.53
FirstName553 LastName553  full 81966.32
FirstName554 LastName554  full 110946.87
FirstName555 LastName555  full 103961.94
FirstName556 LastName556  assistant 66936.34
FirstName557 LastName557  assistant 68060.11
FirstName558 LastName558  associate 71208.18
FirstName559 LastName559  full 117156.65
FirstName560 LastName560  assistant 65184.59
FirstName561 LastName561  full 93527.92
FirstName562 LastName562  full 84386.59
FirstName563 LastName563  associate 104660.42
FirstName564 LastName564  assistant 60251.30
FirstName565 LastName565  associate 87423.81
FirstName566 LastName566  assistant 60800.72
FirstName567 LastName567  assistant 68164.57
FirstName568 LastName568  associate 96982.22
FirstName569 LastName569  assistant 63839.89
FirstName570 LastName570  associate 71483.96
FirstName571 LastName571  full 76969.31
FirstName572 LastName572  assistant 73678.02
FirstName573 LastName573  associate 82283.57
FirstName574 LastName574  associate 90993.62
FirstName575 LastName575  assistant 53734.30
FirstName576 LastName576  associate 73414.68
FirstName577 LastName577  assistant 52904.47
FirstName578 LastName578  associate 70588.08
FirstName579 LastName579  full 111033.65
FirstName580 LastName580  associate 73424.73
FirstName581 LastName581  associate 72966.95
FirstName582 LastName582  full 110101.21
FirstName583 LastName583  associate 64058.34
FirstName584 LastName584  assistant 61113.08
FirstName585 LastName585  full 88754.30
FirstName586 LastName586  assistant 67494.00
FirstName587 LastName587  full 103670.94
FirstName588 LastName588  full 119507.44
FirstName589 LastName589  associate 99193.81
FirstName590 LastName590  full 98998.16
FirstName591 LastName591  associate 87690.13
FirstName592 LastName592  full 92731.52
FirstName593 LastName593  full 94570.22
FirstName594 LastName594  associate 75992.01
FirstName595 LastName595  assistant 70640.77
FirstName596 LastName596  assistant 68641.34
FirstName597 LastName597  associate 64208.70
FirstName598 LastName598  assistant 66569.57
FirstName599 LastName599  full 110304.45
FirstName600 LastName600  associate 93895.07
FirstName601 LastName601  associate 73375.90
FirstName602 LastName602  assistant 76037.37
FirstName603 LastName603  full 119268.76
FirstName604 LastName604  full 89683.30
FirstName605 LastName605  associate 68016.55
FirstName606 LastName606  associate 107800.22
FirstName607 LastName607  assistant 65439.94
FirstName608 LastName608  full 100162.62
FirstName609 LastName609  assistant 71624.87
FirstName610 LastName610  full 82604.18
FirstName611 LastName611  full 76480.18
FirstName612 LastName612  full 129573.00
FirstName613 LastName613  full 93411.75
FirstName614 LastName614  associate 72463.54
FirstName615 LastName615  full 91882.63
FirstName616 LastName616  assistant 72448.40
FirstName617 LastName617  full 117326.85
FirstName618 LastName618  full 77049.91
FirstName619 LastName619  assistant 50659.00
FirstName620 LastName620  assistant 71590.91
FirstName621 LastName621  assistant 75864.89
FirstName622 LastName622  associate 92573.03
FirstName623 LastName623  associate 78152.69
FirstName624 LastName624  assistant 56405.44
FirstName625 LastName625  assistant 70839.26
FirstName626 LastName626  assistant 50961.21
FirstName627 LastName627  associate 88785.99
FirstName628 LastName628  associate 70031.34
FirstName629 LastName629  full 89408.58
FirstName630 LastName630  associate 73489.67
FirstName631 LastName631  full 93034.17
FirstName632 LastName632  assistant 50384.75
FirstName633 LastName633  full 123682.69
FirstName634 LastName634  associate 72554.17
FirstName635 LastName635  full 91187.39
FirstName636 LastName636  assistant 74829.84
FirstName637 LastName637  associate 103689.50
FirstName638 LastName638  assistant 54655.93
FirstName639 LastName639  associate 89307.23
FirstName640 LastName640  associate 91606.86
FirstName641 LastName641  assistant 55778.33
FirstName642 LastName642  assistant 68603.09
FirstName643 LastName643  full 124763.06
FirstName644 LastName644  full 108398.35
FirstName645 LastName645  full 82421.72
FirstName646 LastName646  assistant 69292.61
FirstName647 LastName647  associate 87440.17
FirstName648 LastName648  full 81816.69
FirstName649 LastName649  associate 72882.37
FirstName650 LastName650  associate 86643.23
FirstName651 LastName651  full 110908.45
FirstName652 LastName652  associate 99637.92
FirstName653 LastName653  full 79469.29
FirstName654 LastName654  assistant 64379.97
FirstName655 LastName655  assistant 58626.48
FirstName656 LastName656  assistant 57734.98
FirstName657 LastName657  associate 75461.42
FirstName658 LastName658  full 105656.88
FirstName659 LastName659  full 91437.03
FirstName660 LastName660  associate 93865.38
FirstName661 LastName661  assistant 67103.56
FirstName662 LastName662  associate 71576.40
FirstName663 LastName663  associate 60833.73
FirstName664 LastName664  full 79452.61
FirstName665 LastName665  full 126521.44
FirstName666 LastName666  full 112241.88
FirstName667 LastName667  associate 70533.64
FirstName668 LastName668  full 77583.40
FirstName669 LastName669  associate 96312.36
FirstName670 LastName670  assistant 64558.08
FirstName671 LastName671  associate 106138.01
FirstName672 LastName672  full 96386.75
FirstName673 LastName673  assistant 60039.66
FirstName674 LastName674  assistant 67019.28
FirstName675 LastName675  assistant 51648.96
FirstName676 LastName676  associate 99706.93
FirstName677 LastName677  associate 65516.15
FirstName678 LastName678  assistant 59766.43
FirstName679 LastName679  associate 102091.37
FirstName680 LastName680  full 108343.46
FirstName681 LastName681  assistant 65594.11
FirstName682 LastName682  full 97361.59
FirstName683 LastName683  associate 89283.33
FirstName684 LastName684  associate 69542.20
FirstName685 LastName685  associate 65503.29
FirstName686 LastName686  assistant 68105.66
FirstName687 LastName687  associate 74220.56
FirstName688 LastName688  full 106798.91
FirstName689 LastName689  assistant 50640.75
FirstName690 LastName690  assistant 71711.28
FirstName691 LastName691  full 76661.36
FirstName692 LastName692  associate 76128.89
FirstName693 LastName693  associate 62699.86
FirstName694 LastName694  full 101849.31
FirstName695 LastName695  assistant 59243.19
FirstName696 LastName696  full 117411.39
FirstName697 LastName697  associate 87177.36
FirstName698 LastName698  full 117865.07
FirstName699 LastName699  full 106545.36
FirstName700 LastName700  associate 69095.48
FirstName701 LastName701  associate 87397.89
FirstName702 LastName702  full 119185.26
FirstName703 LastName703  full 115576.55
FirstName704 LastName704  assistant 61533.32
FirstName705 LastName705  associate 65038.42
FirstName706 LastName706  associate 109163.64
FirstName707 LastName707  full 99179.52
FirstName708 LastName708  assistant 77676.25
FirstName709 LastName709  associate 86707.97
FirstName710 LastName710  associate 92493.33
FirstName711 LastName711  full 87837.00
FirstName712 LastName712  full 122951.99
FirstName713 LastName713  assistant 53771.10
FirstName714 LastName714  full 121544.45
FirstName715 LastName715  full 78886.53
FirstName716 LastName716  full 117528.15
FirstName717 LastName717  associate 88651.00
FirstName718 LastName718  full 119694.81
FirstName719 LastName719  full 113822.92
FirstName720 LastName720  full 95518.14
FirstName721 LastName721  full 77738.55
FirstName722 LastName722  full 128223.74
FirstName723 LastName723  associate 105203.07
FirstName724 LastName724  full 81176.96
FirstName725 LastName725  assistant 75426.81
FirstName726 LastName726  full 99926.83
FirstName727 LastName727  assistant 67397.46
FirstName728 LastName728  assistant 66669.93
FirstName729 LastName729  assistant 75697.51
FirstName730 LastName730  associate 87896.36
FirstName731 LastName731  assistant 57405.00
FirstName732 LastName732  full 86101.30
FirstName733 LastName733  associate 79520.68
FirstName734 LastName734  assistant 67621.05
FirstName735 LastName735  assistant 62153.65
FirstName736 LastName736  assistant 61011.60
